Function,Inputs,Outputs,Retry,RetryHandler,OnError,SubSubTest,Conditions,ReturnOnFail,Notes
Tech/DUTCmd>sendCmdAndParse,"{subsubtestname=""Send-Test_Mode_Enable_CMD""}",,,,,,,,"Select club and enable club to test mode"
,"+{dutPluginName=""Kis_dut""}",,,,,,,,
,"+{channelPluginName=""Kis_channelPlugin""}",,,,,,,,
,"+{expect=""OK""}",,,,,,,,
,"+{Timeout=""10""}",,,,,,,,
,"+{Commands=""reg select club;reg write 0xfe00 0x61 0x45 0x72 0x4F""}",,,,,,,,
,"+{record=""false""}",,,,,,,,
Tech/DUTCmd>sendCmdAndParse,"{subsubtestname=""Read-Test_mode_Club""}",,,,,,,,"check club test mode state"
,"+{dutPluginName=""Kis_dut""}",,,,,,,,
,"+{channelPluginName=""Kis_channelPlugin""}",,,,,,,,
,"+{pattern=""0xFE05%s*=>%s*0x0(%w)""}",,,,,,,,
,"+{Timeout=""10""}",,,,,,,,
,"+{Commands=""reg read 0xfe05 01""}",,,,,,,,
,"+{isparametric=""YES""}",,,,,,,,
,"+{record=""true""}",,,,,,,,
Tech/DUTCmd>sendCmdAndParse,"{subsubtestname=""Send-Config_PMU_Trigger_CMD""}",,,,,,,,"set Config PMU Trigger"
,"+{dutPluginName=""Kis_dut""}",,,,,,,,
,"+{channelPluginName=""Kis_channelPlugin""}",,,,,,,,
,"+{expect=""OK""}",,,,,,,,
,"+{Timeout=""10""}",,,,,,,,
,"+{Commands=""reg write 0x1847 0x04""}",,,,,,,,
,"+{record=""false""}",,,,,,,,
Tech/DUTCmd>sendCmdAndParse,"{subsubtestname=""Send-Club_UVWARN_L_LOW_CMD""}",,,,,,,,"set Club_UVWARN_L to LOW"
,"+{dutPluginName=""Kis_dut""}",,,,,,,,
,"+{channelPluginName=""Kis_channelPlugin""}",,,,,,,,
,"+{expect=""OK""}",,,,,,,,
,"+{Timeout=""10""}",,,,,,,,
,"+{Commands=""reg write 0x1851 0x01""}",,,,,,,,
,"+{record=""false""}",,,,,,,,
Tech/DUTCmd>sendCmdAndParse,"{subsubtestname=""Read-Club_UVWARN_L_LOW""}",,,,,,,,"check Club_UVWARN_L state"
,"+{dutPluginName=""Kis_dut""}",,,,,,,,
,"+{channelPluginName=""Kis_channelPlugin""}",,,,,,,,
,"+{pattern=""SoC%s*GPIO%[%d*,%d*%]%s*=%s*(%d+)""}",,,,,,,,
,"+{Timeout=""10""}",,,,,,,,
,"+{Commands=""socgpio --pin 207 --get""}",,,,,,,,
,"+{isparametric=""YES""}",,,,,,,,
,"+{record=""true""}",,,,,,,,
Tech/DUTCmd>sendCmdAndParse,"{subsubtestname=""Send-Club_UVWARN_L_HIGH_CMD""}",,,,,,,,"set Club_UVWARN_L to High"
,"+{dutPluginName=""Kis_dut""}",,,,,,,,
,"+{channelPluginName=""Kis_channelPlugin""}",,,,,,,,
,"+{expect=""OK""}",,,,,,,,
,"+{Timeout=""10""}",,,,,,,,
,"+{Commands=""reg write 0x1851 0x00""}",,,,,,,,
,"+{record=""false""}",,,,,,,,
Tech/DUTCmd>sendCmdAndParse,"{subsubtestname=""Read-Club_UVWARN_L_HIGH""}",,,,,,,,"check Club_UVWARN_L state"
,"+{dutPluginName=""Kis_dut""}",,,,,,,,
,"+{channelPluginName=""Kis_channelPlugin""}",,,,,,,,
,"+{pattern=""SoC%s*GPIO%[%d*,%d*%]%s*=%s*(%d+)""}",,,,,,,,
,"+{Timeout=""10""}",,,,,,,,
,"+{Commands=""socgpio --pin 207 --get""}",,,,,,,,
,"+{isparametric=""YES""}",,,,,,,,
,"+{record=""true""}",,,,,,,,
Tech/DUTCmd>sendCmdAndParse,"{subsubtestname=""Send-Throttle_Outputs_Set_To_Default_CMD""}",,,,,,,,"set Throttle_Outputs to Default"
,"+{dutPluginName=""Kis_dut""}",,,,,,,,
,"+{channelPluginName=""Kis_channelPlugin""}",,,,,,,,
,"+{expect=""OK""}",,,,,,,,
,"+{Timeout=""10""}",,,,,,,,
,"+{Commands=""reg write 0x1847 0x00""}",,,,,,,,
,"+{record=""false""}",,,,,,,,
